primary_procedure_id,display_name,domain,allowed_modifiers
SA700B,Botulinum Toxin Therapy for Movement Disorders,integumentary,[]
SA701B,"Breast – Ductal Lesions, Microdochectomy (bilateral)",integumentary,[]
SA702B,"Breast – Ductal Lesions, Microdochectomy (unilateral)",integumentary,[]
SA704B,"Breast – Lumps (Imaging Guided Vacuum Assisted Biopsy, Single Lesion)",integumentary,[]
SA705B,Breast – Lump (removal) with Parenchymal Flap Closure (unilateral),integumentary,[]
SA706B,"Breast – Lumps (Imaging Guided Vacuum Assisted Biopsy, > 1 Lesions)",integumentary,[]
SA707B,"Breast – Tumor (malignant) (Wide Excision/ Lumpectomy/segmental Mastectomy/ Partial Mastectomy, With Sentinel Node Biopsy/ Axiliary Node Sampling)",integumentary,[]
SA708B,Breast Percutaneous Aspiration Under Ultrasound,integumentary,[]
SA709B,Breast Trucut Biopsy – Ultrasound Guided or Stereotactic (multiple),integumentary,[]
SA710B,Breast Trucut Biopsy – Ultrasound Guided or Stereotactic (single),integumentary,[]
SA711B,Breast Wire Localisation – Excision (multiple),integumentary,[]
SA712B,Breast Wire Localisation – Excision (single),integumentary,[]
SA713B,"Breast – Post Mastectomy, Reconstruction Using Pedicled Transverse Rectus Abdominis Musculocutaneous Flap (unilateral)",integumentary,[]
SA800B,Breast (nipple) Graft and/or Flap Reconstruction (bilateral),integumentary,[]
SA801B,Breast (nipple) Graft and/or Flap Reconstruction (unilateral),integumentary,[]
SA802B,"Breast – Diffuse Hypertrophy, Reduction Mammoplasty >500g (bilateral)",integumentary,[]
SA803B,"Breast – Diffuse Hypertrophy, Reduction >250g (unilateral)",integumentary,[]
SA804B,"Breast – Drooping, Mastopexy/reduction (bilateral)",integumentary,[]
SA805B,"Breast – Drooping, Mastopexy/reduction (unilateral)",integumentary,[]
SA806B,"Breast – Gynecomastia, Reduction (bilateral)",integumentary,[]
SA807B,"Breast – Gynecomastia, Reduction (unilateral)",integumentary,[]
SA808B,"Breast – Hypoplasia, Augmentation Mammoplasty (prosthetic and Bilateral)",integumentary,[]
SA809B,"Breast – Hypoplasia, Augmentation Mammoplasty (prosthetic and Unilateral)",integumentary,[]
SA810B,"Breast – Inverted Nipples, Surgical Eversion (bilateral)",integumentary,[]
SA811B,"Breast – Inverted Nipple, Surgical Eversion (unilateral)",integumentary,[]
SA812B,"Breast – Lump (single), Excision Biopsy",integumentary,[]
SA813B,"Breast – Lumps (multiple/bilateral), Excision Biopsy",integumentary,[]
SA814B,"Breast – Post Mastectomy (Implant/expander Reconstruction/removal of Implant, Capsulectomy and Replacement (bilateral))",integumentary,[]
SA815B,"Breast – Post Mastectomy (Implant/expander Reconstruction/removal of Implant, Capsulectomy and Replacement (unilateral))",integumentary,[]
SA816B,"Breast – Post Mastectomy, Latissmus Dorsi Pedicled Flap with/without Implant Reconstruction (bilateral)",integumentary,[]
SA817B,"Breast – Post Mastectomy, Latissmus Dorsi Pedicled Flap with/without Implant Reconstruction (unilateral)",integumentary,[]
SA818B,"Breast – Post Mastectomy, Reconstruction Using Pedicled Transverse Rectus Abdominis Musculocutaneous Flap (bilateral)",integumentary,[]
SA819B,"Breast – Post Mastectomy, Reconstruction Using Free Flap (unilateral)",integumentary,[]
SA820B,"Breast – Post Prosthetic Contraction, Capsulotomy (bilateral)",integumentary,[]
SA821B,"Breast – Post Prosthetic Contraction, Capsulotomy (unilateral)",integumentary,[]
SA822B,"Breast – Tumor (malignant), Wide Excision/ Lumpectomy/segmental Mastectomy/ Partial Mastectomy",integumentary,[]
