primary_procedure_id,coa_requirement_keys
INTEGUMENTARY_001,[]
INTEGUMENTARY_002,[]
INTEGUMENTARY_003,[]
INTEGUMENTARY_004,[]
INTEGUMENTARY_005,[]
INTEGUMENTARY_006,[]
INTEGUMENTARY_007,[]
BREAST_001,[]
BREAST_002,[]
BREAST_003,[]
BREAST_004,[]
BREAST_005,[]
BREAST_006,[]
BREAST_007,[]
BREAST_008,[]
BREAST_009,[]
BREAST_010,[]
MUSCULOSKELETAL_001,[]
MUSCULOSKELETAL_002,[]
MUSCULOSKELETAL_003,[]
MUSCULOSKELETAL_004,[]
MUSCULOSKELETAL_005,[]
MUSCULOSKELETAL_006,[]
MUSCULOSKELETAL_007,[]
MUSCULOSKELETAL_008,[]
MUSCULOSKELETAL_009,[]
MUSCULOSKELETAL_010,[]
MUSCULOSKELETAL_011,[]
MUSCULOSKELETAL_012,[]
MUSCULOSKELETAL_013,[]
MUSCULOSKELETAL_014,[]
MUSCULOSKELETAL_015,[]
MUSCULOSKELETAL_016,[]
MUSCULOSKELETAL_017,[]
MUSCULOSKELETAL_018,[]
MUSCULOSKELETAL_019,[]
MUSCULOSKELETAL_020,[]
MUSCULOSKELETAL_021,[]
MUSCULOSKELETAL_022,[]
MUSCULOSKELETAL_023,[]
MUSCULOSKELETAL_024,[]
MUSCULOSKELETAL_025,[]
MUSCULOSKELETAL_026,[]
MUSCULOSKELETAL_027,[]
MUSCULOSKELETAL_028,[]
MUSCULOSKELETAL_029,[]
MUSCULOSKELETAL_030,[]
MUSCULOSKELETAL_031,[]
MUSCULOSKELETAL_032,[]
MUSCULOSKELETAL_033,[]
MUSCULOSKELETAL_034,[]
MUSCULOSKELETAL_035,[]
MUSCULOSKELETAL_036,[]
MUSCULOSKELETAL_037,[]
MUSCULOSKELETAL_038,[]
MUSCULOSKELETAL_039,[]
MUSCULOSKELETAL_040,[]
MUSCULOSKELETAL_041,[]
MUSCULOSKELETAL_042,[]
SPINE_001,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_002,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_003,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_004,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_005,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_006,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_007,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_008,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_009,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_010,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_011,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_012,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_013,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_014,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_015,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_016,"[""coa.case.anatomic.neuroskeletal""]"
SPINE_017,"[""coa.case.anatomic.neuroskeletal""]"
DIGESTIVE_001,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_002,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_003,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_004,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_005,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_006,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_007,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_008,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_009,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_010,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_011,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_012,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_013,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_014,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_015,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_016,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_017,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_018,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_019,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_020,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_021,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_022,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_023,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_024,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_025,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_026,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_027,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_028,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_029,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_030,"[""coa.case.anatomic.intra_abdominal""]"
DIGESTIVE_031,"[""coa.case.anatomic.intra_abdominal""]"
