primary_procedure_id,coa_requirement_keys
SA700B,[]
SA701B,"[""coa.case.anatomic.intra_abdominal""]"
SA702B,"[""coa.case.anatomic.intra_abdominal""]"
SA704B,"[""coa.case.anatomic.intra_abdominal""]"
SA705B,"[""coa.case.anatomic.intra_abdominal""]"
SA706B,"[""coa.case.anatomic.intra_abdominal""]"
SA707B,"[""coa.case.anatomic.intra_abdominal""]"
SA708B,"[""coa.case.anatomic.intra_abdominal""]"
SA709B,"[""coa.case.anatomic.intra_abdominal""]"
SA710B,"[""coa.case.anatomic.intra_abdominal""]"
SA711B,"[""coa.case.anatomic.intra_abdominal""]"
SA712B,"[""coa.case.anatomic.intra_abdominal""]"
SA713B,"[""coa.case.anatomic.intra_abdominal""]"
SA800B,"[""coa.case.anatomic.intra_abdominal""]"
SA801B,"[""coa.case.anatomic.intra_abdominal""]"
SA802B,"[""coa.case.anatomic.intra_abdominal""]"
SA803B,"[""coa.case.anatomic.intra_abdominal""]"
SA804B,"[""coa.case.anatomic.intra_abdominal""]"
SA805B,"[""coa.case.anatomic.intra_abdominal""]"
SA806B,"[""coa.case.anatomic.intra_abdominal""]"
SA807B,"[""coa.case.anatomic.intra_abdominal""]"
SA808B,"[""coa.case.anatomic.intra_abdominal""]"
SA809B,"[""coa.case.anatomic.intra_abdominal""]"
SA810B,"[""coa.case.anatomic.intra_abdominal""]"
SA811B,"[""coa.case.anatomic.intra_abdominal""]"
SA812B,"[""coa.case.anatomic.intra_abdominal""]"
SA813B,"[""coa.case.anatomic.intra_abdominal""]"
SA814B,"[""coa.case.anatomic.intra_abdominal""]"
SA815B,"[""coa.case.anatomic.intra_abdominal""]"
SA816B,"[""coa.case.anatomic.intra_abdominal""]"
SA817B,"[""coa.case.anatomic.intra_abdominal""]"
SA818B,"[""coa.case.anatomic.intra_abdominal""]"
SA819B,"[""coa.case.anatomic.intra_abdominal""]"
SA820B,"[""coa.case.anatomic.intra_abdominal""]"
SA821B,"[""coa.case.anatomic.intra_abdominal""]"
SA822B,"[""coa.case.anatomic.intra_abdominal""]"
SA823B,"[""coa.case.anatomic.intra_abdominal""]"
SA824B,"[""coa.case.anatomic.intra_abdominal""]"
SA825B,"[""coa.case.anatomic.intra_abdominal""]"
SA826B,"[""coa.case.anatomic.intra_abdominal""]"
SA827B,"[""coa.case.anatomic.intra_abdominal""]"
SA829B,"[""coa.case.anatomic.intra_abdominal""]"
SA831B,"[""coa.case.anatomic.intra_abdominal""]"
SA832B,"[""coa.case.anatomic.intra_abdominal""]"
SA833B,"[""coa.case.anatomic.intra_abdominal""]"
SA834B,"[""coa.case.anatomic.intra_abdominal""]"
SA835B,"[""coa.case.anatomic.intra_abdominal""]"
SA800F,[]
SA812F,[]
SA813F,[]
SA814F,[]
SA800H,[]
SA800M,[]
SA801M,[]
SA802M,[]
SA803M,[]
SA804M,[]
SA805M,[]
