pdf_procedure_id,primary_procedure_id,default_modifiers,mapping_confidence,needs_review
tosp_sa700b,pap_botulinum_toxin_therapy_for_movement_disorders,[],high,false
tosp_sa700r,pap_radiotherapy_endoluminal_brachytherapy_oesophagus_nasopharyngeal_carcinoma_hepat,[],high,false
tosp_sa700s,pap_skin_wound_major_desloughing,"[""open""]",med,false
tosp_sa700t,pap_requiring_general_anaesthesia_tendon_sheath_and_subcutaneous_tissue_ganglion_lar,"[""biopsy""]",med,false
tosp_sa701b,pap_breast_ductal_lesions_microdochectomy,"[""bilateral""]",high,false
tosp_sa701r,pap_radiotherapy_interstitial_brachytherapy,"[""open""]",low,true
tosp_sa701s,pap_skin_and_subcutaneous_tissue_tumor_cyst_ulcer_scar_excision_removal_of_2_or_more,"[""biopsy""]",med,false
tosp_sa702b,pap_breast_ductal_lesions_microdochectomy,"[""unilateral""]",high,false
tosp_sa702r,pap_radiotherapy_interstitial_brachytherapy_prostate,"[""open""]",low,true
tosp_sa702s,pap_skin_and_subcutaneous_tissue_tumor_cyst_ulcer_scar_excision_lesion_size_more_tha,"[""biopsy""]",med,false
tosp_sa703r,pap_radiotherapy_intracavitary_brachytherapy_cervix_others,[],high,false
tosp_sa704b,pap_breast_lumps_vacuum_assisted,"[""biopsy"", ""imaging_guided""]",med,false
tosp_sa704r,pap_radiotherapy_intracavitary_brachytherapy_endometrium_others,[],high,false
tosp_sa704s,pap_skin_cancer_mohs_micrographic_surgery_without_reconstruction,[],low,true
tosp_sa705b,pap_breast_lump,"[""unilateral""]",low,true
tosp_sa705r,pap_radiotherapy_intra_operative_radiotherapy_breast_sarcoma_upper_gi_lower_gi_other,[],high,false
tosp_sa705s,pap_skin_defect_distant_skin_flaps,[],high,false
tosp_sa706b,pap_breast_lumps_vacuum_assisted_1_lesions,"[""biopsy"", ""imaging_guided""]",med,false
tosp_sa706s,pap_skin_defect_neurovascular_island_flap,[],high,false
tosp_sa707b,pap_breast_tumor_wide_excision_lumpectomy_segmental_mastectomy_partial_mastectomy,"[""biopsy""]",low,true
tosp_sa707s,pap_skin_neuromas_hemangiomas_excision_vaporisation_by_laser_and_other_ablative_moda,[],high,false
tosp_sa708b,pap_breast_aspiration_under_ultrasound,"[""percutaneous""]",med,false
tosp_sa708s,pap_skin_surgical_treatment_for_vitiligo,[],high,false
tosp_sa709b,pap_breast_trucut_or_stereotactic,"[""biopsy"", ""ultrasound_guided""]",med,false
tosp_sa709s,pap_skin_surgical_treatment_for_vitiligo,[],high,false
tosp_sa710b,pap_breast_trucut_or_stereotactic,"[""biopsy"", ""ultrasound_guided""]",med,false
tosp_sa710s,pap_skin_surgical_treatment_for_vitiligo,[],high,false
tosp_sa711b,pap_breast_wire_localisation_excision,[],high,false
tosp_sa711s,pap_soft_tissue_contracture_major_release,[],high,false
tosp_sa712b,pap_breast_wire_localisation_excision,[],high,false
tosp_sa712s,pap_soft_tissue_contracture_minor_release,[],high,false
tosp_sa713b,pap_breast_post_mastectomy_reconstruction_using_pedicled_transverse_rectus_abdominis,"[""unilateral""]",high,false
tosp_sa713s,pap_soft_tissue_wound_infection_major_desloughing,"[""open""]",med,false
tosp_sa714s,pap_soft_tissue_small_tumors_excision_under_general_anesthesia,"[""biopsy""]",med,false
tosp_sa715s,pap_soft_tissue_tumor_tumor_like_lesions_marginal_excision,[],high,false
tosp_sa716s,pap_soft_tissue_tumors_wide_excision,"[""biopsy""]",med,false
tosp_sa717s,pap_soft_tissue_tumors_radical_excision,"[""biopsy""]",med,false
tosp_sa718s,pap_soft_tissue_major_release,[],high,false
tosp_sa719s,pap_soft_tissue_minor_release,[],high,false
tosp_sa720s,pap_soft_tissue_abscess_drainage,[],high,false
tosp_sa721s,pap_soft_tissue_tumors_major_excision,"[""biopsy""]",med,false
tosp_sa722s,pap_soft_tissue_tumors_radical_excision,"[""biopsy""]",med,false
tosp_sa723s,pap_soft_tissue_tumors_wide_excision,"[""biopsy""]",med,false
tosp_sa724s,pap_soft_tissue_tumor_major_resection_and_reconstruction,[],high,false
tosp_sa725s,pap_sweat_gland_axillary_hyperhidrosis_wedge_excision,"[""bilateral""]",high,false
tosp_sa726s,pap_skin_cancer_mohs_micrographic_surgery,[],low,true
tosp_sa727s,pap_skin_cancer_mohs_micrographic_surgery,[],low,true
tosp_sa728s,pap_skin_and_subcutaneous_tissue_tumor_cyst_ulcer_scar_excision_punch_shave_lesion_s,"[""biopsy""]",med,false
tosp_sa729s,pap_skin_and_subcutaneous_tissue_tumor_cyst_ulcer_scar_excision_punch_shave_lesion_s,"[""biopsy""]",med,false
tosp_sa730s,pap_skin_and_subcutaneous_tissue_tumor_cyst_ulcer_scar_excision_punch_shave_lesion_s,"[""biopsy""]",med,false
tosp_sa731s,pap_skin_and_subcutaneous_tissue_tumor_cyst_ulcer_scar_removal_of_3_or_more_recurren,[],high,false
tosp_sa800b,pap_breast_graft_and_or_flap_reconstruction,"[""bilateral""]",high,false
tosp_sa800f,pap_fascia_rupture_repair,[],low,true
tosp_sa800h,pap_hand_burns_excision_and_split_skin_graft,[],high,false
tosp_sa800m,pap_mucous_membrane_avulsion_complex_laceration_full_thickness_repair,[],high,false
tosp_sa800s,pap_skin_and_mucous_membrane_excision,"[""biopsy""]",med,false
tosp_sa800t,pap_tendon_sheath_and_subcutaneous_tissue_ganglion_small_bursa_excision,"[""biopsy""]",med,false
tosp_sa801b,pap_breast_graft_and_or_flap_reconstruction,"[""unilateral""]",high,false
tosp_sa801m,pap_mucous_membrane_deep_laceration_multiple_lacerations_repair,[],high,false
tosp_sa801s,pap_skin_and_subcutaneous_tissue_tumour_wide_excision_and_reconstruction_and_local_f,[],high,false
tosp_sa802b,pap_breast_diffuse_hypertrophy_reduction_mammoplasty_500g,"[""bilateral""]",high,false
tosp_sa802m,pap_mucous_membrane_superficial_laceration_equal_less_than_7cm_repair,[],high,false
tosp_sa802s,pap_skin_and_subcutaneous_tissue_tumour_wide_excision,[],low,true
tosp_sa803b,pap_breast_diffuse_hypertrophy_reduction_250g,"[""unilateral""]",high,false
tosp_sa803m,pap_mucous_membrane_superficial_laceration_more_than_7_cm_repair,[],high,false
tosp_sa803s,pap_skin_and_subcutaneous_tissue_complex_lacerations_repair,[],high,false
tosp_sa804b,pap_breast_drooping_mastopexy_reduction,"[""bilateral""]",high,false
tosp_sa804m,pap_mucous_membrane_tumor_cyst_ulcer_scar_excision,[],high,false
tosp_sa804s,pap_skin_subcutaneous_scar_revision_face_neck,[],high,false
tosp_sa805b,pap_breast_drooping_mastopexy_reduction,"[""unilateral""]",high,false
tosp_sa805m,pap_muscle_and_deep_tissue_foreign_body_removal,[],high,false
tosp_sa805s,pap_skin_and_subcutaneous_tissue_scar_of_more_than_3cm_revision,[],high,false
tosp_sa806b,pap_breast_gynecomastia_reduction,"[""bilateral""]",high,false
tosp_sa806s,pap_skin_and_subcutaneous_tissue_burns_escharotomy,[],high,false
tosp_sa807b,pap_breast_gynecomastia_reduction,"[""unilateral""]",high,false
tosp_sa807s,pap_skin_and_subcutaneous_tissue_burns_escharotomy,[],high,false
tosp_sa808b,pap_breast_hypoplasia_augmentation_mammoplasty,"[""bilateral""]",high,false
tosp_sa808s,pap_skin_and_subcutaneous_tissue_burns_excision_and_major_flap_repair,[],high,false
tosp_sa809b,pap_breast_hypoplasia_augmentation_mammoplasty,"[""unilateral""]",high,false
tosp_sa809s,pap_skin_and_subcutaneous_tissue_burns_excision_and_major_full_thickness_graft,[],high,false
tosp_sa810b,pap_breast_inverted_nipples_surgical_eversion,"[""bilateral""]",high,false
tosp_sa810s,pap_skin_and_subcutaneous_tissue_burns_excision_and_small_full_thickness_graft,[],high,false
tosp_sa811b,pap_breast_inverted_nipple_surgical_eversion,"[""unilateral""]",high,false
tosp_sa811s,pap_skin_and_subcutaneous_tissue_debridement_which_also_includes_muscle_tendon_or_bo,[],high,false
tosp_sa812b,pap_breast_lump_excision,"[""biopsy""]",med,false
tosp_sa812f,pap_fat_transfer_correction_of_contours_congenital_deformities_reconstruction_post_a,[],high,false
tosp_sa812s,pap_skin_and_subcutaneous_tissue_defect_dermofat_fascia_graft,[],high,false
tosp_sa813b,pap_breast_lumps_excision,"[""bilateral"", ""biopsy""]",med,false
tosp_sa813f,pap_fat_transfer_correction_of_contours_congenital_deformities_reconstruction_post_a,[],high,false
tosp_sa813s,pap_skin_and_subcutaneous_tissue_defect_direct_flap,[],high,false
tosp_sa814b,pap_breast_post_mastectomy_implant_expander_reconstruction_removal_of_implant_capsul,"[""bilateral""]",high,false
tosp_sa814f,pap_fat_transfer_correction_of_contours_congenital_deformities_reconstruction_post_a,[],high,false
tosp_sa814s,pap_skin_and_subcutaneous_tissue_defect_direct_flap_repair,[],high,false
tosp_sa815b,pap_breast_post_mastectomy_implant_expander_reconstruction_removal_of_implant_capsul,"[""unilateral""]",high,false
tosp_sa815s,pap_skin_and_subcutaneous_tissue_defect_free_flaps,[],high,false
tosp_sa816b,pap_breast_post_mastectomy_latissmus_dorsi_pedicled_flap,"[""bilateral""]",low,true
tosp_sa816s,pap_skin_and_subcutaneous_tissue_defect_free_graft,[],high,false
tosp_sa817b,pap_breast_post_mastectomy_latissmus_dorsi_pedicled_flap,"[""unilateral""]",low,true
tosp_sa817s,pap_skin_and_subcutaneous_tissue_defect_staged_distant_flap,[],high,false
tosp_sa818b,pap_breast_post_mastectomy_reconstruction_using_pedicled_transverse_rectus_abdominis,"[""bilateral""]",high,false
tosp_sa818s,pap_skin_and_subcutaneous_tissue_defect_free_full_thickness_graft,[],high,false
tosp_sa819b,pap_breast_post_mastectomy_reconstruction_using_free_flap,"[""unilateral""]",high,false
tosp_sa819s,pap_skin_and_subcutaneous_tissue_defect_staged_local_flap,[],high,false
tosp_sa820b,pap_breast_post_prosthetic_contraction_capsulotomy,"[""bilateral""]",high,false
tosp_sa820s,pap_skin_and_subcutaneous_tissue_defect_free_full_thickness_graft,[],high,false
tosp_sa821b,pap_breast_post_prosthetic_contraction_capsulotomy,"[""unilateral""]",high,false
tosp_sa821s,pap_skin_and_subcutaneous_tissue_defect_direct_flap,[],high,false
tosp_sa822b,pap_breast_tumor_wide_excision_lumpectomy_segmental_mastectomy_partial_mastectomy,[],high,false
tosp_sa822s,pap_skin_and_subcutaneous_tissue_defect_free_graft,[],high,false
tosp_sa823b,pap_breast_tumor_wide_excision_lumpectomy_segmental_mastectomy_partial_mastectomy,"[""biopsy""]",low,true
tosp_sa823s,pap_skin_and_subcutaneous_tissue_defect_free_grafts,[],high,false
tosp_sa824b,pap_breast_tumour_simple_mastectomy,"[""biopsy""]",low,true
tosp_sa824s,pap_skin_and_subcutaneous_tissue_defect_free_grafts,[],high,false
tosp_sa825b,pap_breast_tumor_radical_mastectomy,[],low,true
tosp_sa825s,pap_skin_and_subcutaneous_tissue_defect_free_grafts,[],high,false
tosp_sa826b,pap_breast_tumor_simple_mastectomy_therapeutic_prophylactic,[],high,false
tosp_sa826s,pap_skin_and_subcutaneous_tissue_defect_free_grafts,[],high,false
tosp_sa827b,pap_breast_tumor_simple_mastectomy,"[""biopsy""]",low,true
tosp_sa827s,pap_skin_and_subcutaneous_tissue_defect_local_flap_to_multiple_digits,[],high,false
tosp_sa828s,pap_skin_and_subcutaneous_tissue_defect_single_stage_local_flap,[],high,false
tosp_sa829b,pap_breast_trucut_contralateral_mastopexy_reduction_following,"[""biopsy""]",med,false
tosp_sa829s,pap_skin_and_subcutaneous_tissue_defect_single_stage_local_flap,[],high,false
tosp_sa830s,pap_skin_and_subcutaneous_tissue_defect_staged_local_flap,[],high,false
tosp_sa831b,pap_breast_tumour_wide_excision_lumpectomy_segmental_or_partial_mastectomy,"[""biopsy""]",low,true
tosp_sa831s,pap_skin_and_subcutaneous_tissue_foreign_body_removal,[],high,false
tosp_sa832b,pap_ipsilateral_mastopexy_reduction_following_breast_tumour_wide_excision_lumpectomy,"[""biopsy""]",low,true
tosp_sa832s,pap_skin_and_subcutaneous_tissue_foreign_body_removal,[],high,false
tosp_sa833b,pap_breast_nipple_skin_sparing_subcutanous_mastectomy_therapeutic_prophylactic_exclu,"[""bilateral"", ""unilateral""]",high,false
tosp_sa833s,pap_skin_and_subcutaneous_tissue_hematoma_furuncle_abscess_similar_lesion_incision,[],low,true
tosp_sa834b,pap_breast_tumor_nipple_skin_sparing_mastectomy,"[""biopsy""]",low,true
tosp_sa834s,pap_skin_and_subcutaneous_tissue_hematoma_aspiration,[],high,false
tosp_sa835b,pap_breast_tumor_nipple_skin_sparing_mastectomy,"[""biopsy""]",low,true
tosp_sa835s,pap_skin_and_subcutaneous_tissue_arteriovenous_malformation_hemangioma_lymphangioma,[],high,false
