pdf_procedure_id,raw_name,source_page,source_text_snippet
tosp_sa700b,BOTULINUM TOXIN THERAPY FOR MOVEMENT DISORDERS,4,SA700B BOTULINUM TOXIN THERAPY FOR MOVEMENT DISORDERS
tosp_sa700r,"RADIOTHERAPY, ENDOLUMINAL BRACHYTHERAPY: OESOPHAGUS, NASOPHARYNGEAL CARCINOMA (NPC), HEPATOBILIARY, CARDIAC, LUNG, OTHERS",6,"SA700R RADIOTHERAPY, ENDOLUMINAL BRACHYTHERAPY: OESOPHAGUS, NASOPHARYNGEAL CARCINOMA (NPC), HEPATOBILIARY, CARDIAC, LUNG, OTHERS"
tosp_sa700s,"SKIN (UPPER LIMB), OPEN WOUND, MAJOR DESLOUGHING",6,"SA700S SKIN (UPPER LIMB), OPEN WOUND, MAJOR DESLOUGHING"
tosp_sa700t,"REQUIRING GENERAL ANAESTHESIA TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/LARGE BURSA, (>3CM) EXCISION BIOPSY",12,"SA700T REQUIRING GENERAL ANAESTHESIA TENDON SHEATH AND SUBCUTANEOUS TISSUE, GANGLION/LARGE BURSA, (>3CM) EXCISION BIOPSY"
tosp_sa701b,"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (BILATERAL)",4,"SA701B BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (BILATERAL)"
tosp_sa701r,"RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITH/WITHOUT OPEN SURGERY)",6,"SA701R RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITH/WITHOUT OPEN SURGERY)"
tosp_sa701s,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION BIOPSY, REMOVAL OF 2 OR MORE OR RECURRENT OR COMPLICATED (ADHERENT), EXCISION",6,"SA701S SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION BIOPSY, REMOVAL OF 2 OR MORE OR RECURRENT OR COMPLICATED (ADHERENT), EXCISION"
tosp_sa702b,"BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (UNILATERAL)",4,"SA702B BREAST, DUCTAL LESIONS, MICRODOCHECTOMY (UNILATERAL)"
tosp_sa702r,"RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITHOUT OPEN SURGERY): PROSTATE",6,"SA702R RADIOTHERAPY, INTERSTITIAL BRACHYTHERAPY (WITHOUT OPEN SURGERY): PROSTATE"
tosp_sa702s,"SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION BIOPSY, LESION SIZE MORE THAN 15MM IN DIAMETER",6,"SA702S SKIN AND SUBCUTANEOUS TISSUE, TUMOR/CYST/ULCER/SCAR, EXCISION BIOPSY, LESION SIZE MORE THAN 15MM IN DIAMETER"
tosp_sa703r,"RADIOTHERAPY, INTRACAVITARY BRACHYTHERAPY (MULTI-CHANNEL): CERVIX, OTHERS",6,"SA703R RADIOTHERAPY, INTRACAVITARY BRACHYTHERAPY (MULTI-CHANNEL): CERVIX, OTHERS"
tosp_sa704b,"BREAST, LUMPS, IMAGING GUIDED VACUUM ASSISTED BIOPSY, SINGLE LESION",4,"SA704B BREAST, LUMPS, IMAGING GUIDED VACUUM ASSISTED BIOPSY, SINGLE LESION"
tosp_sa704r,"RADIOTHERAPY, INTRACAVITARY BRACHYTHERAPY (SINGLE CHANNEL): ENDOMETRIUM, OTHERS",6,"SA704R RADIOTHERAPY, INTRACAVITARY BRACHYTHERAPY (SINGLE CHANNEL): ENDOMETRIUM, OTHERS"
tosp_sa704s,"SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITHOUT RECONSTRUCTION",6,"SA704S SKIN CANCER, MOHS MICROGRAPHIC SURGERY WITHOUT RECONSTRUCTION"
tosp_sa705b,"BREAST, LUMP (REMOVAL) WITH PARENCHYMAL FLAP CLOSURE (UNILATERAL)",4,"SA705B BREAST, LUMP (REMOVAL) WITH PARENCHYMAL FLAP CLOSURE (UNILATERAL)"
tosp_sa705r,"RADIOTHERAPY, INTRA-OPERATIVE RADIOTHERAPY (ELECTRONS OR KILOVOLTAGE): BREAST, SARCOMA, UPPER GI, LOWER GI, OTHER SITES",6,"SA705R RADIOTHERAPY, INTRA-OPERATIVE RADIOTHERAPY (ELECTRONS OR KILOVOLTAGE): BREAST, SARCOMA, UPPER GI, LOWER GI, OTHER SITES"
tosp_sa705s,"SKIN, DEFECT, DISTANT SKIN FLAPS",6,"SA705S SKIN, DEFECT, DISTANT SKIN FLAPS"
tosp_sa706b,"BREAST, LUMPS, IMAGING GUIDED VACUUM ASSISTED BIOPSY, > 1 LESIONS",4,"SA706B BREAST, LUMPS, IMAGING GUIDED VACUUM ASSISTED BIOPSY, > 1 LESIONS"
tosp_sa706s,"SKIN, DEFECT, NEUROVASCULAR ISLAND FLAP",6,"SA706S SKIN, DEFECT, NEUROVASCULAR ISLAND FLAP"
tosp_sa707b,"BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY, WITH SENTINEL NODE BIOPSY/ AXILIARY NODE SAMPLING",4,"SA707B BREAST, TUMOR (MALIGNANT), WIDE EXCISION/ LUMPECTOMY/SEGMENTAL MASTECTOMY/ PARTIAL MASTECTOMY, WITH SENTINEL NODE BIOPSY/ AXILIARY NODE SAMPLING"
tosp_sa707s,"SKIN, NEUROMAS/HEMANGIOMAS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC",7,"SA707S SKIN, NEUROMAS/HEMANGIOMAS, EXCISION/VAPORISATION BY LASER AND OTHER ABLATIVE MODALITIES, THERAPEUTIC"
tosp_sa708b,"BREAST, VARIOUS LESIONS, PERCUTANEOUS ASPIRATION UNDER ULTRASOUND",4,"SA708B BREAST, VARIOUS LESIONS, PERCUTANEOUS ASPIRATION UNDER ULTRASOUND"
tosp_sa708s,"SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (<20 SQ CM)",7,"SA708S SKIN, SURGICAL TREATMENT FOR VITILIGO (INVOLVING NON-CULTURED CELLULAR GRAFTING) (<20 SQ CM)"
